Sensor_id,Temperature,HPA_Divison,Sensor_Cycle,radio_cell_state,city
S-319,2863,24471,92,Green ,Delhi
S-365,3304,24929,95,Yellow,Indo
S-365,4200,25743,60,Red,Denmark
S-392,3725,24803,98,Green ,London
S-374,2138,25813,72,Yellow,Dubai
S-370,4299,25154,66,Red,Germany
S-380,2157,25470,73,Green ,Delhi
S-372,4276,25874,69,Yellow,Indo
S-305,4049,25086,64,Red,Denmark
S-369,4645,25905,66,Green ,London
S-380,4303,24886,70,Yellow,Dubai
S-387,2255,25604,82,Red,Germany
S-380,2552,25319,73,Green ,Delhi
S-377,4788,24924,83,Yellow,Indo
S-331,2746,24798,74,Red,Denmark
S-379,3580,25840,84,Green ,London
S-328,4310,25585,86,Yellow,Dubai
S-337,2908,24193,98,Red,Germany
S-362,3360,24832,83,Green ,Delhi
S-373,4892,24327,76,Yellow,Indo
S-318,3147,25316,83,Red,Denmark
S-384,2253,25305,63,Green ,London
S-346,2498,24386,88,Yellow,Dubai
S-354,3243,25573,99,Red,Germany
S-359,4538,24260,91,Green ,Delhi
S-342,3817,25467,64,Yellow,Indo
S-342,4973,24779,98,Red,Denmark
S-327,2848,25329,79,Green ,London
S-308,3536,25452,76,Yellow,Dubai
S-343,4819,25095,91,Red,Germany
S-391,2903,25980,88,Green ,Delhi
S-353,4664,24900,81,Yellow,Indo
S-340,4595,24049,78,Red,Denmark
S-348,2985,24610,68,Green ,London
S-312,4291,25243,68,Yellow,Dubai
S-334,3621,24167,86,Red,Germany
S-379,2791,24058,88,Green ,Delhi
S-382,4155,25847,76,Yellow,Indo
S-353,3600,25054,81,Red,Denmark
S-376,2579,25437,85,Green ,London
S-391,3503,25013,62,Yellow,Dubai
S-359,4521,25506,82,Red,Germany
S-374,3048,24653,96,Green ,Delhi
S-329,3286,24606,96,Yellow,Indo
S-388,2321,25281,83,Red,Denmark
S-305,4502,24373,69,Green ,London
S-391,4532,24593,99,Yellow,Dubai
S-375,4488,24465,66,Red,Germany
S-354,4444,25432,85,Green ,Delhi
S-385,2368,24102,74,Yellow,Indo
S-351,2012,24754,72,Red,Denmark
S-318,4921,24915,66,Green ,London
S-309,2140,25704,86,Yellow,Dubai
S-388,2133,24724,86,Red,Germany
S-365,3192,24844,66,Green ,Delhi
S-373,2044,25517,77,Yellow,Indo
S-367,4047,24609,70,Red,Denmark
S-301,2085,25464,66,Green ,London
S-356,3579,24418,74,Yellow,Dubai
S-303,3441,24951,69,Red,Germany
S-303,2139,24458,88,Green ,Delhi
S-341,2803,24096,63,Yellow,Indo
S-349,4974,24772,88,Red,Denmark
S-361,2937,25829,84,Green ,London
S-347,3180,25648,98,Yellow,Dubai
S-336,4353,24029,70,Red,Germany
S-350,4971,25183,68,Green ,Delhi
S-358,4196,24398,70,Yellow,Indo
S-395,3952,24333,86,Red,Denmark
S-342,2622,25243,85,Green ,London
S-348,3774,25792,77,Yellow,Dubai
S-341,3996,25490,97,Red,Germany
S-374,3767,24732,65,Green ,Delhi
S-300,3140,25186,81,Yellow,Indo
S-372,3569,25394,75,Red,Denmark
S-316,2124,24433,61,Green ,London
S-367,4759,24580,96,Yellow,Dubai
S-364,3709,25050,90,Red,Germany
S-331,4914,24083,72,Green ,Delhi
S-349,3200,25780,66,Yellow,Indo
S-317,4328,24233,74,Red,Denmark
S-367,4109,25502,87,Green ,London
S-311,3311,25949,82,Yellow,Dubai
S-364,4181,25411,98,Red,Germany
S-308,2945,24680,60,Green ,Delhi
S-351,3349,25277,67,Yellow,Indo
S-300,4876,24774,62,Red,Denmark
S-397,3676,24171,99,Green ,London
S-351,2544,24258,71,Yellow,Dubai
S-393,4428,25964,96,Red,Germany
S-353,3147,24919,99,Green ,Delhi
S-398,4559,25366,99,Yellow,Indo
S-321,3003,24176,80,Red,Denmark
S-347,2209,24771,83,Green ,London
S-388,2573,24887,96,Yellow,Dubai
S-340,4578,24622,71,Red,Germany
S-364,4720,25508,88,Green ,Delhi
S-345,3223,24076,80,Yellow,Indo
S-306,2924,24078,89,Red,Denmark
S-396,2104,24804,74,Green ,London
S-383,4658,24999,82,Yellow,Dubai
S-389,2246,25347,72,Red,Germany
S-378,3462,25962,94,Green ,Delhi
S-382,4718,24132,70,Yellow,Indo
S-387,4384,24972,78,Red,Denmark
S-318,2032,24069,67,Green ,London
S-303,4118,25810,61,Yellow,Dubai
S-307,4766,24884,74,Red,Germany
S-369,2640,25293,90,Green ,Delhi
S-355,4593,25815,62,Yellow,Indo
S-324,3085,24185,62,Red,Denmark
S-362,3511,25621,71,Green ,London
S-397,4993,25258,84,Yellow,Dubai
S-371,4411,25167,93,Red,Germany
S-382,3981,25417,66,Green ,Delhi
S-332,2307,25081,95,Yellow,Indo
S-392,3084,24506,91,Red,Denmark
S-386,3134,24680,85,Green ,London
S-318,2120,24689,77,Yellow,Dubai
S-386,4423,25416,63,Red,Germany
S-356,2785,25664,99,Green ,Delhi
S-369,2065,24196,69,Yellow,Indo
S-320,2466,25555,81,Red,Denmark
S-341,3394,24707,82,Green ,London
S-395,4152,25713,85,Yellow,Dubai
S-362,4710,25127,83,Red,Germany
S-380,2345,24501,79,Green ,Delhi
S-371,2109,24566,68,Yellow,Indo
S-304,4607,25303,69,Red,Denmark
S-396,3043,24730,80,Green ,London
S-366,2326,24258,86,Yellow,Dubai
S-346,3963,24049,99,Red,Germany
S-345,2514,25257,87,Green ,Delhi
S-301,3647,24564,98,Yellow,Indo
S-335,3249,24033,87,Red,Denmark
S-324,4349,24459,90,Green ,London
S-307,4434,25646,72,Yellow,Dubai
S-332,2447,25398,82,Red,Germany
S-391,4206,25807,81,Green ,Delhi
S-393,4510,24700,99,Yellow,Indo
S-363,2169,25428,78,Green ,Denmark
S-369,2752,24693,78,Green ,London
S-391,2339,25605,99,Yellow,Dubai
S-372,4740,25249,73,Red,Germany
S-347,4344,24811,60,Green ,Delhi
S-391,2700,25702,86,Yellow,Indo
S-344,2282,25720,98,Red,Denmark
S-341,2463,25660,99,Green ,London
S-387,4053,24434,72,Yellow,Dubai
S-344,3441,24325,62,Red,Germany
S-309,2435,24528,96,Green ,Delhi
S-361,2430,25796,73,Yellow,Indo
S-335,2956,24084,78,Red,Denmark
S-332,2141,25409,92,Green ,London
S-379,2681,25486,77,Yellow,Dubai
S-364,4758,25730,70,Red,Germany
S-345,2430,25937,64,Green ,Delhi
S-341,4417,24729,73,Yellow,Indo
S-305,4137,25030,82,Red,Denmark
S-347,4607,25599,70,Green ,London
S-355,3123,25621,72,Yellow,Dubai
S-341,3514,25590,69,Red,Germany
S-330,2007,25283,74,Green ,Delhi
S-351,3788,24253,83,Yellow,Indo
S-311,4159,24190,69,Green ,Denmark
S-372,4757,25118,83,Green ,London
S-361,3895,24581,91,Yellow,Dubai
S-346,2600,24610,72,Red,Germany
S-346,4696,25621,67,Green ,Delhi
S-388,3836,24443,76,Yellow,Indo
S-347,4399,24009,99,Red,Denmark
S-358,4716,24772,95,Green ,London
S-302,2719,24324,60,Yellow,Dubai
S-342,2300,24085,95,Red,Germany
S-373,3852,24484,77,Green ,Delhi
S-371,3861,25415,65,Yellow,Indo
S-367,4667,24849,92,Red,Denmark
S-342,4642,24116,62,Green ,London
S-395,2474,25357,95,Yellow,Dubai
S-305,3120,24066,60,Red,Germany
S-374,2976,25249,80,Green ,Delhi
S-359,4999,24858,95,Yellow,Indo
S-339,2045,25813,83,Red,Denmark
S-360,2236,25867,94,Green ,London
S-313,3014,24515,93,Yellow,Dubai
S-345,4609,24633,90,Red,Germany
S-372,4223,24078,71,Green ,Delhi
S-303,3542,25860,60,Yellow,Indo
S-385,3540,24492,87,Red,Denmark
S-369,3845,24139,94,Green ,London
S-344,3631,24283,72,Green ,Dubai
S-326,3258,25447,73,Red,Germany
S-304,2180,24361,71,Green ,Delhi
S-330,2395,24531,64,Yellow,Indo
S-393,4748,25554,71,Red,Denmark
S-333,4086,25643,90,Green ,London
S-354,2523,25785,82,Yellow,Dubai
S-336,3098,24098,94,Red,Germany
S-356,3812,25436,65,Green ,Delhi
S-370,3487,25290,96,Yellow,Indo
S-310,2536,24776,79,Red,Denmark
S-364,4607,25143,70,Green ,London
S-331,2840,24601,79,Yellow,Dubai
S-336,2650,25168,71,Red,Germany
S-355,3366,25097,62,Green ,Delhi
S-399,3697,25530,64,Yellow,Indo
S-358,4712,24710,60,Red,Denmark
S-347,2042,24809,64,Green ,London
S-391,4286,24023,88,Yellow,Dubai
S-379,3105,24449,90,Red,Germany
S-396,2594,24437,99,Green ,Delhi
S-318,2634,24484,88,Yellow,Indo
S-358,3354,25674,68,Red,Denmark
S-391,2599,24256,89,Green ,London
S-371,3177,25344,86,Yellow,Dubai
S-340,4791,24218,95,Green ,Germany
S-324,2494,24182,71,Green ,Delhi
S-361,4723,25319,62,Yellow,Indo
S-340,3086,24848,90,Red,Denmark
S-381,4479,24341,87,Green ,London
S-322,3742,24641,60,Yellow,Dubai
S-365,2042,24005,86,Red,Germany
S-338,2501,25516,66,Green ,Delhi
S-328,3996,25315,68,Yellow,Indo
S-355,3711,24433,97,Red,Denmark
S-363,4160,25970,82,Green ,London
S-337,4634,24337,99,Yellow,Dubai
S-347,2304,25733,73,Red,Germany
S-378,3406,24877,91,Green ,Delhi
S-357,2811,25087,74,Yellow,Indo
S-378,4599,24755,65,Red,Denmark
S-390,3404,24850,94,Green ,London
S-307,2815,24410,94,Yellow,Dubai
S-386,4816,25163,79,Red,Germany
S-377,2144,24577,79,Green ,Delhi
S-378,4260,25561,92,Yellow,Indo
S-308,4330,24215,94,Red,Denmark
S-339,2817,25607,77,Green ,London
S-309,4898,25888,95,Yellow,Dubai
S-320,2365,24248,79,Red,Germany
S-343,4046,25410,84,Yellow,Delhi
S-341,2250,24511,84,Yellow,Indo
S-312,3720,24787,84,Red,Denmark
S-391,4221,25507,62,Green ,London
S-344,2160,25918,97,Yellow,Dubai
S-388,3358,24123,67,Red,Germany
S-348,2853,25110,94,Green ,Delhi
S-353,4418,25675,65,Yellow,Indo
S-397,3523,24797,88,Red,Denmark
S-327,2282,25361,60,Green ,London
S-357,3485,24385,64,Yellow,Dubai
S-389,4198,25398,91,Red,Germany
S-389,3977,24673,75,Green ,Delhi
S-311,4761,24528,67,Yellow,Indo
S-353,3579,25587,74,Red,Denmark
S-399,2195,25375,74,Green ,London
S-338,4559,24595,87,Yellow,Dubai
S-342,3554,24561,65,Red,Germany
S-320,2075,25035,94,Green ,Delhi
S-356,3351,25566,69,Yellow,Indo
S-303,4002,24868,63,Red,Denmark
S-335,2969,25305,67,Green ,London
S-370,4566,25000,82,Yellow,Dubai
S-300,2677,24363,95,Red,Germany
S-378,2763,25920,85,Green ,Delhi
S-367,2393,24021,64,Red,Indo
S-308,4893,24657,75,Red,Denmark
S-396,3183,24366,90,Green ,London
S-380,4556,25935,83,Yellow,Dubai
S-325,3141,25666,73,Red,Germany
S-318,2681,24343,71,Green ,Delhi
S-333,2775,24978,63,Yellow,Indo
S-366,3729,24065,81,Red,Denmark
S-389,4699,25267,76,Green ,London
S-328,2212,24913,82,Yellow,Dubai
S-399,3305,25929,83,Red,Germany
S-339,2525,24263,86,Green ,Delhi
S-343,4895,24803,82,Yellow,Indo
S-344,2022,24191,90,Red,Denmark
S-315,2077,24475,69,Green ,London
S-352,3592,24166,82,Yellow,Dubai
S-301,4203,25675,76,Red,Germany
S-337,4062,24889,85,Green ,Delhi
S-359,3132,24653,99,Green ,Indo
S-313,3201,25029,78,Red,Denmark
S-391,4433,25689,69,Green ,London
S-363,4451,25293,93,Yellow,Dubai
S-347,2751,24855,97,Red,Germany
S-312,3250,24073,96,Green ,Delhi
S-382,2036,25953,70,Yellow,Indo
S-357,4843,25655,96,Red,Denmark
S-398,4399,24419,64,Green ,London
S-384,3731,25373,85,Yellow,Dubai
S-389,3263,25801,88,Red,Germany
S-353,4844,25411,79,Green ,Delhi
S-305,2662,25816,77,Yellow,Indo
S-339,2520,25972,87,Red,Denmark
S-343,2481,25527,99,Green ,London
S-382,3934,24617,99,Yellow,Dubai
S-302,3299,25345,89,Red,Germany
S-345,4923,25450,79,Green ,Delhi
S-301,4299,25568,74,Yellow,Indo
S-352,2861,25868,82,Red,Denmark
S-343,2164,24014,65,Green ,London
S-374,4063,24985,69,Red,Dubai
S-381,4653,25606,63,Red,Germany
S-380,3066,24417,73,Green ,Delhi
S-356,2417,25196,62,Yellow,Indo
S-370,2390,25717,89,Red,Denmark
S-310,3991,25371,83,Green ,London
S-373,2268,25975,93,Yellow,Dubai
S-348,3470,24210,75,Red,Germany
S-333,3356,25049,92,Green ,Delhi
S-351,4846,25797,76,Yellow,Indo
S-386,2138,25824,77,Red,Denmark
S-338,2881,24378,82,Green ,London
S-315,3376,25103,93,Yellow,Dubai
S-326,3993,24359,97,Red,Germany
S-303,3019,25291,61,Green ,Delhi
S-341,4123,25425,62,Yellow,Indo
S-334,2980,25352,95,Red,Denmark
S-354,4070,24144,73,Green ,London
S-389,4413,25167,73,Yellow,Dubai
S-315,4870,25744,70,Red,Germany
S-345,3360,25350,67,Green ,Delhi
S-340,4257,25904,61,Yellow,Indo
S-340,4418,25681,93,Red,Denmark
S-358,2631,25333,80,Green ,London
S-325,3921,25638,75,Yellow,Dubai
S-351,4853,25790,97,Red,Germany
S-309,3819,25969,94,Green ,Delhi
S-369,4976,24666,81,Yellow,Indo
S-354,3644,24151,81,Red,Denmark
S-391,2882,24547,62,Green ,London
S-337,4564,24140,75,Yellow,Dubai
S-373,2856,24711,64,Red,Germany
S-325,4453,25537,66,Green ,Delhi
S-363,4967,25154,82,Yellow,Indo
S-343,4894,24916,88,Red,Denmark
S-376,2910,25277,88,Green ,London
S-397,2620,24772,86,Yellow,Dubai
S-329,3519,25710,74,Red,Germany
S-349,3782,25011,90,Green ,Delhi
S-382,4453,25649,65,Yellow,Indo
S-314,4780,25967,77,Red,Denmark
S-340,3769,25957,60,Green ,London
S-391,2910,25879,60,Yellow,Dubai
S-313,3828,25986,88,Red,Germany
S-356,2416,24403,83,Green ,Delhi
S-371,2360,24433,82,Yellow,Indo
S-373,2293,24486,91,Red,Denmark
S-352,2212,25991,76,Green ,London
S-371,2959,25322,90,Yellow,Dubai
S-391,2900,25103,76,Red,Germany
S-328,4801,24436,85,Green ,Delhi
S-344,3987,24171,65,Red,Indo
S-389,2020,25016,78,Red,Denmark
S-382,2997,24034,62,Green ,London
S-331,3800,25734,81,Yellow,Dubai
S-322,3605,24800,67,Red,Germany
S-387,2907,25007,83,Green ,Delhi
S-348,3183,25590,67,Yellow,Indo
S-336,4730,24570,71,Red,Denmark
S-300,2717,24750,63,Green ,London
S-341,3223,25122,62,Yellow,Dubai
S-393,3740,25460,78,Red,Germany
S-368,3790,24860,60,Green ,Delhi
S-382,4808,24892,73,Yellow,Indo
S-322,2722,24723,88,Red,Denmark
S-388,4590,25378,65,Green ,London
S-366,3588,24729,62,Yellow,Dubai
S-318,3977,25691,99,Red,Germany
S-312,4886,25719,63,Green ,Delhi
S-359,3623,25125,77,Yellow,Indo
S-343,4175,24232,75,Red,Denmark
S-305,2621,25999,75,Green ,London
S-351,3530,25232,70,Yellow,Dubai
S-366,2259,24362,87,Red,Germany
S-323,2686,25300,66,Green ,Delhi
S-317,2578,25548,63,Yellow,Indo
S-385,2293,25209,98,Red,Denmark
S-352,3288,25490,81,Green ,London
S-398,3376,24447,82,Yellow,Dubai
S-366,3234,25932,90,Red,Germany
S-393,3772,25001,69,Red,Delhi
S-399,2702,25654,70,Yellow,Indo
S-344,2734,25956,69,Red,Denmark
S-371,3184,24464,84,Green ,London
S-376,4423,24864,97,Yellow,Dubai
S-331,2707,24784,68,Red,Germany
S-374,4874,24302,81,Green ,Delhi
S-348,2179,25891,80,Yellow,Indo
S-310,2371,24884,77,Red,Denmark
S-363,2277,25955,77,Green ,London
S-369,2638,24975,89,Yellow,Dubai
S-331,2688,25646,72,Red,Germany
S-393,2999,24103,66,Green ,Delhi
S-318,2714,24059,93,Yellow,Indo
S-354,2119,24555,68,Red,Denmark
S-350,2833,25727,75,Green ,London
S-340,3283,25833,76,Yellow,Dubai
S-359,3115,25733,83,Red,Germany
S-351,3948,25826,82,Green ,Delhi
S-342,4009,25654,91,Yellow,Indo
S-358,3965,24893,63,Red,Denmark
S-308,4516,24010,76,Green ,London
S-365,4667,24646,63,Yellow,Dubai
S-356,3159,24846,72,Red,Germany
S-370,3588,24801,68,Green ,Delhi
S-346,2000,25971,84,Yellow,Indo
S-397,4396,24034,86,Yellow,Denmark
S-319,4135,25529,95,Red,London
S-321,3909,25681,70,Yellow,Dubai
S-335,3674,25096,93,Yellow,Germany
S-307,3695,25281,98,Yellow,Delhi
S-342,3660,25322,96,Yellow,Indo
S-393,2376,24576,75,Red,Denmark
S-391,4699,25308,70,Green ,London
S-386,3080,25204,93,Yellow,Dubai
S-313,2757,25777,88,Green ,Germany
S-313,4062,24784,76,Green ,Delhi
S-323,4906,25946,70,Yellow,Indo
S-359,2509,25618,94,Green ,Denmark
S-364,3452,25386,61,Green ,London
S-308,3485,24017,69,Red,Dubai
S-360,3388,24374,86,Red,Germany
